our_naics_code,our_name,felten_naics_code,felten_naics_name,felten_score,match_basis,manual_notes,review_source
3152,Cut and sew apparel manufacturing,3152,Cut and Sew Apparel Manufacturing,-0.6520287,raw_exact_match,,notebook_raw_appendix_b
3159,Accessories and other apparel manufacturing,3159,Apparel Accessories and Other Apparel Manufacturing,-0.7916203,raw_exact_match,,notebook_raw_appendix_b
3161,Leather and hide tanning and finishing,3161,Leather and Hide Tanning and Finishing,-1.103977,raw_exact_match,,notebook_raw_appendix_b
3162,Footwear manufacturing,3162,Footwear Manufacturing,-0.5300771,raw_exact_match,,notebook_raw_appendix_b
3169,Other leather product manufacturing,3169,Other Leather and Allied Product Manufacturing,-0.6799067,raw_exact_match,,notebook_raw_appendix_b
3211,Sawmills and wood preservation,3211,Sawmills and Wood Preservation,-1.421037,raw_exact_match,,notebook_raw_appendix_b
3212,Plywood and engineered wood product mfg.,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-1.13457,raw_exact_match,,notebook_raw_appendix_b
3219,Other wood product manufacturing,3219,Other Wood Product Manufacturing,-1.146,raw_exact_match,,notebook_raw_appendix_b
3221,"Pulp, paper, and paperboard mills",3221,"Pulp, Paper, and Paperboard Mills",-0.9502621,raw_exact_match,,notebook_raw_appendix_b
3222,Converted paper product manufacturing,3222,Converted Paper Product Manufacturing,-0.8241846,raw_exact_match,,notebook_raw_appendix_b
3231,Printing and related support activities,3231,Printing and Related Support Activities,-0.2099964,raw_exact_match,,notebook_raw_appendix_b
3241,Petroleum and coal products manufacturing,3241,Petroleum and Coal Products Manufacturing,-0.1959436,raw_exact_match,,notebook_raw_appendix_b
3251,Basic chemical manufacturing,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3252,"Resin, rubber, and artificial fibers mfg.",3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3253,Agricultural chemical manufacturing,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3254,Pharmaceutical and medicine manufacturing,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,raw_exact_match,,notebook_raw_appendix_b
3255,"Paint, coating, and adhesive manufacturing",3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3256,"Soap, cleaning compound, and toiletry mfg.",3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3259,Other chemical product and preparation mfg.,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3261,Plastics product manufacturing,3261,Plastics Product Manufacturing,-0.8657592,raw_exact_match,,notebook_raw_appendix_b
3262,Rubber product manufacturing,3262,Rubber Product Manufacturing,-1.077709,raw_exact_match,,notebook_raw_appendix_b
3271,Clay product and refractory manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3272,Glass and glass product manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3273,Cement and concrete product manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3274,Lime and gypsum product manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3279,Other nonmetallic mineral products,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3311,Iron and steel mills and ferroalloy mfg.,3311,Iron and Steel Mills and Ferroalloy Manufacturing,-0.9913391,raw_exact_match,,notebook_raw_appendix_b
3312,Steel product mfg. from purchased steel,3312,Steel Product Manufacturing from Purchased Steel,-0.9156145,raw_exact_match,,notebook_raw_appendix_b
3313,Alumina and aluminum production,3313,Alumina and Aluminum Production and Processing,-1.022397,raw_exact_match,,notebook_raw_appendix_b
3314,Other nonferrous metal production,3314,Nonferrous Metal (except Aluminum) Production and Processing,-0.7421725,raw_exact_match,,notebook_raw_appendix_b
3315,Foundries,3315,Foundries,-1.078051,raw_exact_match,,notebook_raw_appendix_b
3321,Forging and stamping,,,,,,
3322,Cutlery and handtool manufacturing,3320,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",-0.740151,manual_override,Notebook lock: roll current fabricated-metals code into Felten's aggregate 3320 family.,notebook_locked_naics_manual_review
3323,Architectural and structural metals mfg.,3320,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",-0.740151,manual_override,Notebook lock: roll current fabricated-metals code into Felten's aggregate 3320 family.,notebook_locked_naics_manual_review
3324,"Boiler, tank, and shipping container mfg.",3320,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",-0.740151,manual_override,Notebook lock: roll current fabricated-metals code into Felten's aggregate 3320 family.,notebook_locked_naics_manual_review
3325,Hardware manufacturing,3320,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",-0.740151,manual_override,Notebook lock: roll current fabricated-metals code into Felten's aggregate 3320 family.,notebook_locked_naics_manual_review
3326,Spring and wire product manufacturing,3320,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",-0.740151,manual_override,Notebook lock: roll current fabricated-metals code into Felten's aggregate 3320 family.,notebook_locked_naics_manual_review
3327,Machine shops and threaded product mfg.,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",-0.6099281,raw_exact_match,,notebook_raw_appendix_b
3328,"Coating, engraving, and heat treating metals",3328,"Coating, Engraving, Heat Treating, and Allied Activities",-0.7753809,raw_exact_match,,notebook_raw_appendix_b
3329,Other fabricated metal product manufacturing,3320,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",-0.740151,manual_override,Notebook lock: roll current fabricated-metals code into Felten's aggregate 3320 family.,notebook_locked_naics_manual_review
3331,"Ag., construction, and mining machinery mfg.",3330,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",-0.0746392,manual_override,Notebook lock: roll machinery manufacturing into Felten's aggregate 3330 family.,notebook_locked_naics_manual_review
3332,Industrial machinery manufacturing,3330,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",-0.0746392,manual_override,Notebook lock: roll machinery manufacturing into Felten's aggregate 3330 family.,notebook_locked_naics_manual_review
3333,Commercial and service industry machinery,3333,Commercial and Service Industry Machinery Manufacturing,0.3308995,raw_exact_match,,notebook_raw_appendix_b
3334,Hvac and commercial refrigeration equipment,3330,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",-0.0746392,manual_override,Notebook lock: roll machinery manufacturing into Felten's aggregate 3330 family.,notebook_locked_naics_manual_review
3335,Metalworking machinery manufacturing,3335,Metalworking Machinery Manufacturing,-0.346932,raw_exact_match,,notebook_raw_appendix_b
3336,Turbine and power transmission equipment mfg.,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.1307197,raw_exact_match,,notebook_raw_appendix_b
3339,Other general purpose machinery manufacturing,3330,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",-0.0746392,manual_override,Notebook lock: roll machinery manufacturing into Felten's aggregate 3330 family.,notebook_locked_naics_manual_review
3341,Computer and peripheral equipment mfg.,3341,Computer and Peripheral Equipment Manufacturing,1.596084,raw_exact_match,,notebook_raw_appendix_b
3342,Communications equipment manufacturing,3342,Communications Equipment Manufacturing,1.181725,raw_exact_match,,notebook_raw_appendix_b
3343,Audio and video equipment manufacturing,3343,Audio and Video Equipment Manufacturing,1.161132,raw_exact_match,,notebook_raw_appendix_b
3344,Semiconductor and electronic component mfg.,3344,Semiconductor and Other Electronic Component Manufacturing,0.6828295,raw_exact_match,,notebook_raw_appendix_b
3345,Electronic instrument manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.113945,raw_exact_match,,notebook_raw_appendix_b
3346,Magnetic media manufacturing and reproducing,3346,Manufacturing and Reproducing Magnetic and Optical Media,0.1490236,raw_exact_match,,notebook_raw_appendix_b
3351,Electric lighting equipment manufacturing,3351,Electric Lighting Equipment Manufacturing,0.5806971,raw_exact_match,,notebook_raw_appendix_b
3352,Household appliance manufacturing,3352,Household Appliance Manufacturing,0.0281708,raw_exact_match,,notebook_raw_appendix_b
3353,Electrical equipment manufacturing,3353,Electrical Equipment Manufacturing,0.332973,raw_exact_match,,notebook_raw_appendix_b
3359,Other electrical equipment and component mfg.,3359,Other Electrical Equipment and Component Manufacturing,-0.0384073,raw_exact_match,,notebook_raw_appendix_b
3361,Motor vehicle manufacturing,3361,Motor Vehicle Manufacturing,-0.3023474,raw_exact_match,,notebook_raw_appendix_b
3362,Motor vehicle body and trailer manufacturing,3362,Motor Vehicle Body and Trailer Manufacturing,-0.8058288,raw_exact_match,,notebook_raw_appendix_b
3363,Motor vehicle parts manufacturing,3363,Motor Vehicle Parts Manufacturing,-0.5860924,raw_exact_match,,notebook_raw_appendix_b
3364,Aerospace product and parts manufacturing,3364,Aerospace Product and Parts Manufacturing,0.5189539,raw_exact_match,,notebook_raw_appendix_b
3365,Railroad rolling stock manufacturing,3365,Railroad Rolling Stock Manufacturing,-0.6623871,raw_exact_match,,notebook_raw_appendix_b
3366,Ship and boat building,3366,Ship and Boat Building,-0.6675431,raw_exact_match,,notebook_raw_appendix_b
3369,Other transportation equipment manufacturing,3369,Other Transportation Equipment Manufacturing,-0.1676746,raw_exact_match,,notebook_raw_appendix_b
3371,Household and institutional furniture mfg.,3379,Other Furniture Related Product Manufacturing,-0.5724769,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3372,Office furniture and fixtures manufacturing,3379,Other Furniture Related Product Manufacturing,-0.5724769,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
3379,Other furniture related product manufacturing,3379,Other Furniture Related Product Manufacturing,-0.5724769,raw_exact_match,,notebook_raw_appendix_b
3391,Medical equipment and supplies manufacturing,3391,Medical Equipment and Supplies Manufacturing,0.2301883,raw_exact_match,,notebook_raw_appendix_b
3399,Other miscellaneous manufacturing,3399,Other Miscellaneous Manufacturing,-0.068744,raw_exact_match,,notebook_raw_appendix_b
4231,Motor vehicle and parts merchant wholesalers,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,-0.1601646,raw_exact_match,,notebook_raw_appendix_b
4232,Furniture and furnishing merchant wholesalers,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,manual_override,Notebook lock: roll durable-goods wholesaling into Felten's aggregate durable merchant wholesaler family.,notebook_locked_naics_manual_review
4233,Lumber and const. supply merchant wholesalers,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,manual_override,Notebook lock: roll durable-goods wholesaling into Felten's aggregate durable merchant wholesaler family.,notebook_locked_naics_manual_review
4234,Commercial equip. merchant wholesalers,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.041147,raw_exact_match,,notebook_raw_appendix_b
4235,Metal and mineral merchant wholesalers,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,manual_override,Notebook lock: roll durable-goods wholesaling into Felten's aggregate durable merchant wholesaler family.,notebook_locked_naics_manual_review
4236,Electric goods merchant wholesalers,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,manual_override,Notebook lock: roll durable-goods wholesaling into Felten's aggregate durable merchant wholesaler family.,notebook_locked_naics_manual_review
4237,Hardware and plumbing merchant wholesalers,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,manual_override,Notebook lock: roll durable-goods wholesaling into Felten's aggregate durable merchant wholesaler family.,notebook_locked_naics_manual_review
4238,Machinery and supply merchant wholesalers,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.2607571,raw_exact_match,,notebook_raw_appendix_b
4239,Misc. durable goods merchant wholesalers,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,manual_override,Notebook lock: roll durable-goods wholesaling into Felten's aggregate durable merchant wholesaler family.,notebook_locked_naics_manual_review
4241,Paper and paper product merchant wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll nondurable-goods wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4242,Druggists' goods merchant wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll nondurable-goods wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4243,Apparel and piece goods merchant wholesalers,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.6573116,raw_exact_match,,notebook_raw_appendix_b
4244,Grocery and related product wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll grocery-related wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4245,Farm product raw material merch. whls.,4245,Farm Product Raw Material Merchant Wholesalers,-0.7109669,raw_exact_match,,notebook_raw_appendix_b
4246,Chemical merchant wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll nondurable-goods wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4247,Petroleum merchant wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll nondurable-goods wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4248,Alcoholic beverage merchant wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll nondurable-goods wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4249,Misc. nondurable goods merchant wholesalers,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,manual_override,Notebook lock: roll nondurable-goods wholesaling into Felten's aggregate nondurable merchant wholesaler family.,notebook_locked_naics_manual_review
4251,Electronic markets and agents and brokers,4251,Wholesale Electronic Markets and Agents and Brokers,0.9876717,raw_exact_match,,notebook_raw_appendix_b
4411,Automobile dealers,4411,Automobile Dealers,-0.1668894,raw_exact_match,,notebook_raw_appendix_b
4412,Other motor vehicle dealers,4412,Other Motor Vehicle Dealers,-0.1300993,raw_exact_match,,notebook_raw_appendix_b
4413,"Auto parts, accessories, and tire stores",4413,"Automotive Parts, Accessories, and Tire Stores",-0.6871853,raw_exact_match,,notebook_raw_appendix_b
4421,Furniture stores,4421,Furniture Stores,-0.0112289,raw_exact_match,,notebook_raw_appendix_b
4422,Home furnishings stores,4422,Home Furnishings Stores,0.049807,raw_exact_match,,notebook_raw_appendix_b
4431,Electronics and appliance stores,4431,Electronics and Appliance Stores,0.3619018,raw_exact_match,,notebook_raw_appendix_b
4441,Building material and supplies dealers,4441,Building Material and Supplies Dealers,0.1045359,raw_exact_match,,notebook_raw_appendix_b
4442,Lawn and garden equipment and supplies stores,4442,Lawn and Garden Equipment and Supplies Stores,-0.4641636,raw_exact_match,,notebook_raw_appendix_b
4451,Grocery stores,4450,Food and Beverage Stores (4451 and 4452 only),-0.4066956,raw_normalized_match,,notebook_raw_appendix_b
4452,Specialty food stores,4450,Food and Beverage Stores (4451 and 4452 only),-0.4066956,raw_normalized_match,,notebook_raw_appendix_b
4453,"Beer, wine, and liquor stores",4453,"Beer, Wine, and Liquor Stores",-0.0185797,raw_exact_match,,notebook_raw_appendix_b
4461,Health and personal care stores,4461,Health and Personal Care Stores,0.3257251,raw_exact_match,,notebook_raw_appendix_b
4471,Gasoline stations,4471,Gasoline Stations,-0.3108229,raw_exact_match,,notebook_raw_appendix_b
4481,Clothing stores,4481,Clothing Stores,0.2268381,raw_exact_match,,notebook_raw_appendix_b
4482,Shoe stores,4482,Shoe Stores,0.2810808,raw_exact_match,,notebook_raw_appendix_b
4483,"Jewelry, luggage, and leather goods stores",4483,"Jewelry, Luggage, and Leather Goods Stores",0.3828857,raw_exact_match,,notebook_raw_appendix_b
4491,NAICS 4491 Furniture and home furnishings retailers,4422,Home Furnishings Stores,0.049807,manual_override,Notebook lock: reviewed retail proxy to the closest furniture and home-furnishings concept in Felten.,notebook_locked_naics_manual_review
4492,NAICS 4492 Electronics and appliance retailers,4431,Electronics and Appliance Stores,0.3619018,raw_normalized_match,,notebook_raw_appendix_b
4511,Sporting goods and musical instrument stores,4511,"Sporting Goods, Hobby, and Musical Instrument Stores",0.2090943,raw_exact_match,,notebook_raw_appendix_b
4512,"Book, periodical, and music stores",4512,Book Stores and News Dealers,0.2499871,raw_exact_match,,notebook_raw_appendix_b
4521,Department stores,4520,General Merchandise Stores,-0.007219,manual_override,Notebook lock: back-map historical department-store code into Felten's aggregate general merchandise family.,notebook_locked_naics_manual_review
4522,NAICS 4522 Department stores,4520,General Merchandise Stores,-0.007219,manual_override,Notebook lock: back-map historical department-store code into Felten's aggregate general merchandise family.,notebook_locked_naics_manual_review
4523,"NAICS 4523 General merchandise stores, including warehouse clubs and supercenters",4520,General Merchandise Stores,-0.007219,manual_override,Notebook lock: back-map historical general-merchandise code into Felten's aggregate general merchandise family.,notebook_locked_naics_manual_review
4529,Other general merchandise stores,4520,General Merchandise Stores,-0.007219,manual_override,Notebook lock: back-map historical general-merchandise code into Felten's aggregate general merchandise family.,notebook_locked_naics_manual_review
4531,Florists,4531,Florists,-0.3690017,raw_exact_match,,notebook_raw_appendix_b
4532,"Office supplies, stationery, and gift stores",4530,Miscellaneous Store Retailers (4532 and 4533 only),0.1663383,manual_override,Notebook lock: back-map historical specialty-retail code into Felten's aggregate 4530 family.,notebook_locked_naics_manual_review
4533,Used merchandise stores,4530,Miscellaneous Store Retailers (4532 and 4533 only),0.1663383,manual_override,Notebook lock: back-map historical specialty-retail code into Felten's aggregate 4530 family.,notebook_locked_naics_manual_review
4539,Other miscellaneous store retailers,4539,Other Miscellaneous Store Retailers,0.00781,raw_exact_match,,notebook_raw_appendix_b
4541,Electronic shopping and mail-order houses,4541,Electronic Shopping and Mail-Order Houses,0.6046838,raw_exact_match,,notebook_raw_appendix_b
4542,Vending machine operators,4542,Vending Machine Operators,-0.6646855,raw_exact_match,,notebook_raw_appendix_b
4543,Direct selling establishments,4543,Direct Selling Establishments,-0.0433316,raw_exact_match,,notebook_raw_appendix_b
4551,NAICS 4551 Department stores,4520,General Merchandise Stores,-0.007219,raw_normalized_match,,notebook_raw_appendix_b
4552,"NAICS 4552 Warehouse clubs, supercenters, and other general merchandise retailers",4520,General Merchandise Stores,-0.007219,raw_normalized_match,,notebook_raw_appendix_b
4561,NAICS 4561 Health and personal care retailers,4461,Health and Personal Care Stores,0.3257251,raw_normalized_match,,notebook_raw_appendix_b
4571,NAICS 4571 Gasoline stations,4471,Gasoline Stations,-0.3108229,raw_normalized_match,,notebook_raw_appendix_b
4572,NAICS 4572 Fuel dealers,,,,,,
4581,NAICS 4581 Clothing and clothing accessories retailers,4481,Clothing Stores,0.2268381,raw_normalized_match,,notebook_raw_appendix_b
4582,NAICS 4582 Shoe retailers,4482,Shoe Stores,0.2810808,raw_normalized_match,,notebook_raw_appendix_b
4583,"NAICS 4583 Jewelry, luggage, and leather goods retailers",4483,"Jewelry, Luggage, and Leather Goods Stores",0.3828857,raw_normalized_match,,notebook_raw_appendix_b
4591,"NAICS 4591 Sporting goods, hobby, and musical instrument retailers",4511,"Sporting Goods, Hobby, and Musical Instrument Stores",0.2090943,raw_normalized_match,,notebook_raw_appendix_b
4592,NAICS 4592 Book retailers and news dealers,4512,Book Stores and News Dealers,0.2499871,raw_normalized_match,,notebook_raw_appendix_b
